datetime,indicator_id,indicator_name,indicator_type,value,geo_id,geo_name,geo_agg
2025-09-29 00:00:00.118858,1293,Demanda real,demand,21444.92411787937,8741,Península,
2025-09-29 01:00:00.118858,1293,Demanda real,demand,22258.259789552685,8741,Península,
2025-09-29 02:00:00.118858,1293,Demanda real,demand,18413.534938983223,8741,Península,
2025-09-29 03:00:00.118858,1293,Demanda real,demand,21440.57826091651,8741,Península,
2025-09-29 04:00:00.118858,1293,Demanda real,demand,20379.962325442557,8741,Península,
2025-09-29 05:00:00.118858,1293,Demanda real,demand,20582.566890217164,8741,Península,
2025-09-29 06:00:00.118858,1293,Demanda real,demand,26401.020329464543,8741,Península,
2025-09-29 07:00:00.118858,1293,Demanda real,demand,25495.072705460887,8741,Península,
2025-09-29 08:00:00.118858,1293,Demanda real,demand,26250.676588157414,8741,Península,
2025-09-29 09:00:00.118858,1293,Demanda real,demand,27726.93826803269,8741,Península,
2025-09-29 10:00:00.118858,1293,Demanda real,demand,29956.147532377538,8741,Península,
2025-09-29 11:00:00.118858,1293,Demanda real,demand,26235.126684677085,8741,Península,
2025-09-29 12:00:00.118858,1293,Demanda real,demand,28274.51002101098,8741,Península,
2025-09-29 13:00:00.118858,1293,Demanda real,demand,26403.29622874643,8741,Península,
2025-09-29 14:00:00.118858,1293,Demanda real,demand,27369.313415994984,8741,Península,
2025-09-29 15:00:00.118858,1293,Demanda real,demand,27946.99433618282,8741,Península,
2025-09-29 16:00:00.118858,1293,Demanda real,demand,26328.295785510894,8741,Península,
2025-09-29 17:00:00.118858,1293,Demanda real,demand,21883.51643859449,8741,Península,
2025-09-29 18:00:00.118858,1293,Demanda real,demand,23683.997479848593,8741,Península,
2025-09-29 19:00:00.118858,1293,Demanda real,demand,23795.07415945843,8741,Península,
2025-09-29 20:00:00.118858,1293,Demanda real,demand,24266.659366286156,8741,Península,
2025-09-29 21:00:00.118858,1293,Demanda real,demand,22082.781167189696,8741,Península,
2025-09-29 22:00:00.118858,1293,Demanda real,demand,24587.64886193734,8741,Península,
2025-09-29 23:00:00.118858,1293,Demanda real,demand,21251.177389576114,8741,Península,
2025-09-30 00:00:00.118858,1293,Demanda real,demand,21899.883440929032,8741,Península,
2025-09-30 01:00:00.118858,1293,Demanda real,demand,20396.578332877998,8741,Península,
2025-09-30 02:00:00.118858,1293,Demanda real,demand,23056.586091071913,8741,Península,
2025-09-30 03:00:00.118858,1293,Demanda real,demand,17463.213712621586,8741,Península,
2025-09-30 04:00:00.118858,1293,Demanda real,demand,17745.538130600427,8741,Península,
2025-09-30 05:00:00.118858,1293,Demanda real,demand,20098.190580629867,8741,Península,
2025-09-30 06:00:00.118858,1293,Demanda real,demand,19628.741062527886,8741,Península,
2025-09-30 07:00:00.118858,1293,Demanda real,demand,25988.43913269775,8741,Península,
2025-09-30 08:00:00.118858,1293,Demanda real,demand,24903.97543762668,8741,Península,
2025-09-30 09:00:00.118858,1293,Demanda real,demand,28456.440702697866,8741,Península,
2025-09-30 10:00:00.118858,1293,Demanda real,demand,28085.283113300742,8741,Península,
2025-09-30 11:00:00.118858,1293,Demanda real,demand,25962.69196909236,8741,Península,
2025-09-30 12:00:00.118858,1293,Demanda real,demand,29511.698023349116,8741,Península,
2025-09-30 13:00:00.118858,1293,Demanda real,demand,25630.63863297435,8741,Península,
2025-09-30 14:00:00.118858,1293,Demanda real,demand,24527.76517196896,8741,Península,
2025-09-30 15:00:00.118858,1293,Demanda real,demand,27808.977894821022,8741,Península,
2025-09-30 16:00:00.118858,1293,Demanda real,demand,24164.478164419546,8741,Península,
2025-09-30 17:00:00.118858,1293,Demanda real,demand,23564.339871110216,8741,Península,
2025-09-30 18:00:00.118858,1293,Demanda real,demand,22672.684382825697,8741,Península,
2025-09-30 19:00:00.118858,1293,Demanda real,demand,25881.14812758243,8741,Península,
2025-09-30 20:00:00.118858,1293,Demanda real,demand,22849.12941259898,8741,Península,
2025-09-30 21:00:00.118858,1293,Demanda real,demand,23366.827892913,8741,Península,
2025-09-30 22:00:00.118858,1293,Demanda real,demand,21453.190290723145,8741,Península,
2025-09-30 23:00:00.118858,1293,Demanda real,demand,22653.669816708203,8741,Península,
2025-10-01 00:00:00.118858,1293,Demanda real,demand,19033.318978963238,8741,Península,
2025-10-01 01:00:00.118858,1293,Demanda real,demand,20370.812381033742,8741,Península,
2025-10-01 02:00:00.118858,1293,Demanda real,demand,19363.17439061966,8741,Península,
2025-10-01 03:00:00.118858,1293,Demanda real,demand,18626.708897145196,8741,Península,
2025-10-01 04:00:00.118858,1293,Demanda real,demand,19336.239703007926,8741,Península,
2025-10-01 05:00:00.118858,1293,Demanda real,demand,19701.112759235133,8741,Península,
2025-10-01 06:00:00.118858,1293,Demanda real,demand,18952.340602380515,8741,Península,
2025-10-01 07:00:00.118858,1293,Demanda real,demand,23396.238083482953,8741,Península,
2025-10-01 08:00:00.118858,1293,Demanda real,demand,24353.343344151006,8741,Península,
2025-10-01 09:00:00.118858,1293,Demanda real,demand,22950.635037145963,8741,Península,
2025-10-01 10:00:00.118858,1293,Demanda real,demand,28768.785217266945,8741,Península,
2025-10-01 11:00:00.118858,1293,Demanda real,demand,26332.919440919584,8741,Península,
2025-10-01 12:00:00.118858,1293,Demanda real,demand,27383.969516321784,8741,Península,
2025-10-01 13:00:00.118858,1293,Demanda real,demand,28132.36622023872,8741,Península,
2025-10-01 14:00:00.118858,1293,Demanda real,demand,25179.302261141773,8741,Península,
2025-10-01 15:00:00.118858,1293,Demanda real,demand,29016.276355368245,8741,Península,
2025-10-01 16:00:00.118858,1293,Demanda real,demand,22983.986834498704,8741,Península,
2025-10-01 17:00:00.118858,1293,Demanda real,demand,25828.844281219976,8741,Península,
2025-10-01 18:00:00.118858,1293,Demanda real,demand,23573.696773327294,8741,Península,
2025-10-01 19:00:00.118858,1293,Demanda real,demand,23768.26163217619,8741,Península,
2025-10-01 20:00:00.118858,1293,Demanda real,demand,24963.46332768926,8741,Península,
2025-10-01 21:00:00.118858,1293,Demanda real,demand,23091.779481692385,8741,Península,
2025-10-01 22:00:00.118858,1293,Demanda real,demand,22864.293170287587,8741,Península,
2025-10-01 23:00:00.118858,1293,Demanda real,demand,23297.817495753497,8741,Península,
2025-10-02 00:00:00.118858,1293,Demanda real,demand,20069.08651348186,8741,Península,
2025-10-02 01:00:00.118858,1293,Demanda real,demand,18781.585024395157,8741,Península,
2025-10-02 02:00:00.118858,1293,Demanda real,demand,18439.255287036718,8741,Península,
2025-10-02 03:00:00.118858,1293,Demanda real,demand,17667.592633081134,8741,Península,
2025-10-02 04:00:00.118858,1293,Demanda real,demand,17967.18053810876,8741,Península,
2025-10-02 05:00:00.118858,1293,Demanda real,demand,20277.764907540797,8741,Península,
2025-10-02 06:00:00.118858,1293,Demanda real,demand,19082.66248109382,8741,Península,
